miRNA,mRNA_gene,interaction
hsa-miR-146a-5p,EGFR,1
hsa-miR-200c-3p,SMAD4,1
hsa-miR-29a-3p,SMAD4,1
hsa-miR-125b-5p,CASP3,1
hsa-miR-17-5p,AKT1,1
hsa-miR-146a-5p,CCND1,1
hsa-miR-92a-3p,CDKN1A,1
hsa-miR-34a-5p,CCND1,1
hsa-miR-146a-5p,TP53,1
hsa-miR-29a-3p,CASP3,1
hsa-miR-29a-3p,NOTCH1,1
hsa-miR-125b-5p,NOTCH1,1
hsa-miR-17-5p,MYC,1
hsa-miR-200c-3p,TP53,1
hsa-miR-125b-5p,AKT1,1
hsa-miR-125b-5p,MAPK1,1
hsa-miR-34a-5p,BCL2,1
hsa-miR-20a-5p,MAPK1,1
hsa-miR-17-5p,KRAS,1
hsa-miR-155-5p,BCL2,1
hsa-miR-125b-5p,PTEN,1
hsa-miR-9-5p,MTOR,1
hsa-miR-20a-5p,TGFBR2,1
hsa-miR-155-5p,TP53,1
hsa-miR-9-5p,TGFBR2,1
hsa-miR-17-5p,EGFR,1
hsa-miR-21-5p,AKT1,1
hsa-miR-9-5p,ERBB2,1
hsa-miR-92a-3p,BRCA1,1
hsa-miR-20a-5p,BRCA1,1
hsa-miR-9-5p,EGFR,1
hsa-miR-27a-3p,CCND1,1
hsa-miR-21-5p,BCL2,1
hsa-miR-29a-3p,FOXO1,1
hsa-miR-29a-3p,CASP3,1
hsa-miR-92a-3p,KRAS,1
hsa-miR-9-5p,VEGFA,1
hsa-miR-9-5p,BCL2,1
hsa-miR-34a-5p,VEGFA,1
hsa-miR-9-5p,MTOR,1
hsa-miR-146a-5p,BCL2,1
hsa-miR-200c-3p,MTOR,1
hsa-miR-27a-3p,BRCA1,1
hsa-miR-34a-5p,CASP3,1
hsa-miR-17-5p,BCL2,1
hsa-miR-34a-5p,VEGFA,1
hsa-miR-146a-5p,TP53,1
hsa-miR-17-5p,BRCA1,1
hsa-miR-27a-3p,SMAD4,1
hsa-miR-146a-5p,CASP3,1
hsa-miR-155-5p,AKT1,1
hsa-miR-200c-3p,EGFR,1
